"user_id","cart_id","first_name","last_name","gender","age","street","city","postal_code","product_id","quantity","price","total_cart_value"
"6","24","Olivia","Wilson","female","22","547 First Street","Fort Worth","83843","134","4","249.99","1749.9"
"6","24","Olivia","Wilson","female","22","547 First Street","Fort Worth","83843","174","1","599.99","1749.9"
"6","24","Olivia","Wilson","female","22","547 First Street","Fort Worth","83843","108","5","29.99","1749.9"
"11","15","Liam","Garcia","male","29","576 Fifth Street","Denver","57252","162","3","29.99","11741.31"
"11","15","Liam","Garcia","male","29","576 Fifth Street","Denver","57252","111","3","12.99","11741.31"
"11","15","Liam","Garcia","male","29","576 Fifth Street","Denver","57252","133","3","699.99","11741.31"
"11","15","Liam","Garcia","male","29","576 Fifth Street","Denver","57252","11","5","1899.99","11741.31"
"11","15","Liam","Garcia","male","29","576 Fifth Street","Denver","57252","30","5","2.49","11741.31"
"23","8","Chloe","Morales","female","39","401 Fourth Street","Dallas","54972","18","4","8.99","15685.86"
"23","8","Chloe","Morales","female","39","401 Fourth Street","Dallas","54972","117","2","7499.99","15685.86"
"23","8","Chloe","Morales","female","39","401 Fourth Street","Dallas","54972","6","3","49.99","15685.86"
"23","8","Chloe","Morales","female","39","401 Fourth Street","Dallas","54972","105","5","99.99","15685.86"
"33","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"100","5","129.99","103774.85"
"33","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"78","2","1999.99","103774.85"
"33","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"168","3","32999.99","103774.85"
"33","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"183","5","24.99","103774.85"
"41","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"160","1","599.99","793.07"
"41","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"109","3","19.99","793.07"
"41","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"85","2","34.99","793.07"
"41","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"31","4","0.79","793.07"
"41","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"163","3","19.99","793.07"
"42","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"91","2","119.99","251.96"
"42","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"77","2","5.99","251.96"
"59","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"130","2","349.99","933.87"
"59","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"34","3","7.99","933.87"
"59","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"153","5","11.99","933.87"
"59","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"187","3","49.99","933.87"
"66","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"37","5","1.99","459.92"
"66","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"128","3","149.99","459.92"
"75","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16","3","1.99","190.89"
"75","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"110","2","14.99","190.89"
"75","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"33","1","4.99","190.89"
"75","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"83","5","29.99","190.89"
"86","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"111","4","12.99","145651.89"
"86","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"129","2","299.99","145651.89"
"86","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"167","5","28999.99","145651.89"
"87","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"62","2","5.99","456.83"
"87","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"156","5","34.99","456.83"
"87","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"40","5","3.99","456.83"
"87","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"187","5","49.99","456.83"
"90","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"166","5","39.99","3534.78"
"90","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"118","5","8.99","3534.78"
"90","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90","5","89.99","3534.78"
"90","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"100","3","129.99","3534.78"
"90","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"193","3","799.99","3534.78"
"90","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"107","1","49.99","3534.78"
"94","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"76","1","11.99","586.82"
"94","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16","1","1.99","586.82"
"94","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"67","3","15.99","586.82"
"94","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"92","3","109.99","586.82"
"94","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"54","5","8.99","586.82"
"94","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"44","5","29.99","586.82"
"108","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55","2","6.99","16775.87"
"108","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"125","5","249.99","16775.87"
"108","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"98","1","13999.99","16775.87"
"108","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"132","3","499.99","16775.87"
"108","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"62","2","5.99","16775.87"
"118","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4","1","12.99","412.98"
"118","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"126","1","399.99","412.98"
"134","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"138","5","8.99","7431.3"
"134","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"157","2","19.99","7431.3"
"134","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"80","5","1399.99","7431.3"
"134","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"28","3","5.49","7431.3"
"134","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8","3","89.99","7431.3"
"134","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"108","2","29.99","7431.3"
"140","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"73","5","19.99","222.88"
"140","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2","2","19.99","222.88"
"140","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"69","2","3.99","222.88"
"140","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"155","3","24.99","222.88"
"141","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"44","4","29.99","192.87"
"141","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"60","3","10.99","192.87"
"141","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2","9.99","192.87"
"141","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"74","4","4.99","192.87"
"142","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"122","3","299.99","4794.8"
"142","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"148","4","9.99","4794.8"
"142","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"110","5","14.99","4794.8"
"142","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"144","4","44.99","4794.8"
"142","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"124","4","899.99","4794.8"
"147","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"172","4","49.99","7757.8"
"147","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"141","4","39.99","209.91"
"147","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","5","9.99","209.91"
"147","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"138","5","8.99","7757.8"
